order_id,product_id,quantity,price
ord_000001,prod_049,1,104.95
ord_000001,prod_011,1,328.34
ord_000001,prod_013,1,154.92
ord_000001,prod_026,2,117.43
ord_000001,prod_037,2,154.09
ord_000001,prod_004,1,128.15
ord_000002,prod_034,1,43.69
ord_000002,prod_043,1,114.28
ord_000002,prod_036,1,109.02
ord_000002,prod_047,2,156.94
,prod_029,1,94.26
ord_000003,prod_044,1,52.30
ord_000003,prod_029,1,75.41
ord_000004,prod_010,1,245.27
ord_000004,,1,59.24
ord_000004,prod_048,1,59.24
ord_000005,prod_013,1,154.92
ord_000006,prod_032,1,89.48
,prod_030,1,54.33
ord_000007,prod_010,1,245.27
,prod_025,3,184.46
ord_000008,prod_019,1,103.89
ord_000008,prod_040,1,46.98
ord_000009,prod_047,1,78.47
ord_000009,,1,58.72
ord_000009,prod_048,2,118.47
ord_000009,prod_048,1,59.24
ord_000009,prod_022,1,64.21
ord_000009,prod_020,1,166.01
ord_000010,prod_030,1,54.33
ord_000010,prod_028,2,96.88
ord_000011,prod_015,1,55.77
ord_000011,prod_040,1,46.98
ord_000011,prod_033,2,152.14
ord_000011,prod_019,1,129.86
ord_000011,prod_016,1,54.17
ord_000011,prod_033,1,95.09
ord_000012,prod_022,1,64.21
ord_000012,prod_012,3,384.17
ord_000013,prod_045,1,125.40
ord_000013,prod_040,1,37.58
ord_000014,prod_047,1,78.47
ord_000015,prod_014,1,69.75
ord_000015,prod_034,1,43.69
ord_000015,prod_047,1,78.47
ord_000016,prod_032,1,71.58
ord_000017,prod_044,1,52.30
ord_000017,prod_020,1,166.01
ord_000017,prod_038,1,89.49
ord_000018,prod_016,1,54.17
ord_000018,prod_006,1,129.73
ord_000019,prod_003,,71.69
ord_000019,prod_010,1,245.27
ord_000019,prod_034,1,43.69
ord_000019,prod_018,1,92.30
ord_000020,prod_003,1,71.69
ord_000020,prod_006,2,259.46
ord_000020,prod_019,1,103.89
ord_000020,prod_014,2,139.50
