order_id,timestamp,restaurant_id
ord_000001,2025-06-22T07:33:10,
ord_000002,2025-08-28T15:13:12,rest_093
ord_000003,2025-04-01T03:04:47,rest_056
ord_000004,,rest_016
ord_000005,2025-12-08T01:48:43,rest_034
ord_000006,2025-08-08T19:44:52,rest_048
ord_000007,2025-11-05T02:02:12,rest_061
ord_000008,2025-09-05T02:47:02,rest_033
ord_000009,2025-02-04T00:11:20,rest_049
ord_000010,2025-10-12T06:39:56,rest_020
ord_000011,2025-01-30T16:48:16,rest_039
ord_000012,2025-02-27T20:03:36,rest_032
ord_000013,2025-11-11T02:32:48,rest_025
ord_000014,2025-03-16T13:22:46,rest_017
ord_000015,2025-03-27T12:14:33,rest_062
ord_000016,,rest_021
ord_000017,2025-03-17T04:00:57,rest_015
ord_000018,2025-05-09T03:53:05,rest_036
ord_000019,2025-05-12T09:08:09,rest_068
ord_000020,,rest_027
ord_000021,2025-11-27T02:11:40,rest_048
ord_000022,2025-01-09T02:02:10,rest_079
ord_000023,2025-05-30T17:31:01,rest_090
ord_000024,2025-11-03T07:02:48,rest_006
ord_000025,2025-08-18T09:13:21,rest_090
ord_000026,2025-03-01T17:43:28,rest_021
ord_000027,,rest_042
ord_000028,2025-06-03T21:18:07,rest_084
ord_000029,2025-09-23T09:05:58,rest_067
ord_000030,2025-05-31T08:35:51,rest_021
ord_000031,2025-09-06T08:26:13,rest_094
ord_000032,2025-02-05T16:45:20,rest_033
ord_000033,2025-06-22T22:26:41,
ord_000034,2025-04-20T09:48:10,rest_056
ord_000035,2025-07-03T04:04:49,rest_100
ord_000036,2025-10-16T03:27:15,rest_040
ord_000037,2025-04-10T23:40:08,rest_056
ord_000038,2025-05-23T09:35:20,rest_006
ord_000039,2025-06-04T20:48:54,rest_006
ord_000040,,rest_071
ord_000041,2025-12-05T08:47:53,rest_042
ord_000042,,rest_088
ord_000043,2025-10-14T05:14:34,rest_022
ord_000044,2025-03-08T11:37:41,rest_016
ord_000045,2025-02-26T04:42:54,rest_003
ord_000046,2025-04-30T03:23:40,rest_050
ord_000047,,
ord_000048,2025-06-19T02:37:45,rest_002
ord_000049,2025-04-07T12:38:10,rest_083
ord_000050,2025-11-14T05:33:17,rest_059
ord_000051,2025-05-24T00:50:10,rest_060
ord_000052,2025-08-13T06:49:07,rest_041
ord_000053,2025-10-08T18:59:02,rest_015
ord_000054,2025-12-29T07:59:11,rest_017
ord_000055,,rest_094
ord_000056,2025-08-15T12:18:41,rest_065
ord_000057,,rest_071
ord_000058,2025-12-03T02:05:52,rest_023
ord_000059,2025-01-12T16:58:36,rest_064
ord_000060,2025-12-01T09:46:38,rest_058
ord_000061,2025-05-28T15:53:09,rest_004
ord_000062,2025-10-23T22:26:30,rest_012
ord_000063,2025-08-20T21:03:42,rest_027
ord_000064,2025-10-14T19:27:59,
ord_000065,2025-07-23T03:56:44,rest_071
ord_000066,2025-06-24T09:48:33,rest_022
ord_000067,2025-10-08T11:47:46,rest_060
ord_000068,2025-12-18T12:36:26,rest_048
ord_000069,2025-02-19T06:43:01,rest_045
ord_000070,2025-03-13T19:17:33,rest_045
ord_000071,2025-06-17T17:07:23,rest_049
ord_000072,2025-04-16T21:25:09,rest_010
ord_000073,2025-06-27T07:54:24,rest_043
ord_000074,2025-03-29T22:17:29,rest_044
ord_000075,2025-09-25T17:35:26,rest_024
ord_000076,2025-12-31T14:12:25,rest_088
ord_000077,2025-10-27T10:15:13,rest_051
